"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.04,0.09,0.17,0.2,0.25
"3",0,0.0048,0.0648,0.3,0.6304
"10",0.05,0.1,0.12,0.15,0.2
"11",0.2,0.25,0.35,0.5,0.65
"12",0.0088,0.2112,0.6032,0.1744,0.0024
"31",0.1,0.12,0.15,0.2,0.25
"32",0.25,0.35,0.5,0.65,0.8
"33",0.1448,0.6264,0.2232,0.0056,0
"40",0.12,0.15,0.2,0.25,0.4
"41",0.09,0.17,0.2,0.25,0.35
"42",0.0064,0.092,0.3376,0.46,0.104
"52",0.12,0.15,0.2,0.25,0.4
"53",0.35,0.5,0.65,0.8,0.85
"54",0.728,0.2632,0.0088,0,0
"55",0.15,0.2,0.25,0.4,0.55
"56",0.04,0.09,0.17,0.2,0.25
"57",0.0328,0.228,0.5648,0.1712,0.0032
"61",0.15,0.2,0.25,0.4,0.55
"62",0.17,0.2,0.25,0.35,0.5
"63",0.0424,0.26,0.5272,0.1688,0.0016
"67",0.15,0.2,0.25,0.4,0.55
"68",0.25,0.35,0.5,0.65,0.8
"69",0.168,0.6128,0.2128,0.0064,0
"76",0.2,0.25,0.4,0.55,0.6
"77",0.09,0.17,0.2,0.25,0.35
"78",0.188,0.5872,0.2216,0.0032,0
"79",0.2,0.25,0.4,0.55,0.6
"80",0.17,0.2,0.25,0.35,0.5
"81",0.2016,0.596,0.1984,0.004,0
"100",0.25,0.4,0.55,0.6,0.7
"101",0.2,0.25,0.35,0.5,0.65
"102",0.7408,0.2504,0.0088,0,0
"103",0.25,0.4,0.55,0.6,0.7
"104",0.25,0.35,0.5,0.65,0.8
"105",0.7456,0.2464,0.0072,0,0
