"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.04,0.09,0.17,0.2,0.25
"3",0,0.0048,0.0728,0.3552,0.5672
"10",0.05,0.1,0.12,0.15,0.2
"11",0.2,0.25,0.35,0.5,0.65
"12",0.02,0.1984,0.6272,0.1512,0.0032
"31",0.1,0.12,0.15,0.2,0.25
"32",0.25,0.35,0.5,0.65,0.8
"33",0.1472,0.6224,0.2256,0.0048,0
"40",0.12,0.15,0.2,0.25,0.4
"41",0.09,0.17,0.2,0.25,0.35
"42",0.008,0.0976,0.42,0.4136,0.0608
"52",0.12,0.15,0.2,0.25,0.4
"53",0.35,0.5,0.65,0.8,0.85
"54",0.7336,0.2608,0.0048,0,0
"55",0.15,0.2,0.25,0.4,0.55
"56",0.04,0.09,0.17,0.2,0.25
"57",0.0432,0.232,0.5696,0.152,0.0032
"61",0.15,0.2,0.25,0.4,0.55
"62",0.17,0.2,0.25,0.35,0.5
"63",0.0496,0.2896,0.5584,0.1,0.0024
"67",0.15,0.2,0.25,0.4,0.55
"68",0.25,0.35,0.5,0.65,0.8
"69",0.2048,0.6344,0.16,8e-04,0
"76",0.2,0.25,0.4,0.55,0.6
"77",0.09,0.17,0.2,0.25,0.35
"78",0.1856,0.5832,0.2288,0.0016,8e-04
"79",0.2,0.25,0.4,0.55,0.6
"80",0.17,0.2,0.25,0.35,0.5
"81",0.2096,0.6032,0.1832,0.004,0
"100",0.25,0.4,0.55,0.6,0.7
"101",0.2,0.25,0.35,0.5,0.65
"102",0.7376,0.26,8e-04,0,0
"103",0.25,0.4,0.55,0.6,0.7
"104",0.25,0.35,0.5,0.65,0.8
"105",0.7744,0.2232,0.0024,0,0
